year,day,goal,from_x,from_y,to_x,to_y,distance_cells,water_mm_cells,live_gm2_cells,dry_gm2_cells,returned_matter_gm2_cells,returned_nitrogen_gm2_cells,compaction,chitin_kg
1,2,WaterSecurity,160,160,162,162,2.8284270763397217,0,0.41999998688697815,0.23999999463558197,0,0,0.011071067303419113,0
1,3,WaterSecurity,162,162,162,162,0,0,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565090579912066,0,0
1,4,WaterSecurity,162,162,162,162,0,0,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565090579912066,0,0
1,5,WaterSecurity,162,162,162,162,0,0,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565090579912066,0,0
1,6,WaterSecurity,162,162,162,162,0,0,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565090579912066,0,0
1,7,WaterSecurity,162,162,162,162,0,0,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565092908218503,0,0
1,8,WaterSecurity,162,162,162,162,0,0,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565092908218503,0,0
1,9,WaterSecurity,162,162,162,162,0,0.012408602982759476,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565092908218503,0,0
1,10,WaterSecurity,162,162,162,162,0,0.017897948622703552,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565091744065285,0,0
1,11,WaterSecurity,162,162,162,162,0,0.020534597337245941,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565090579912066,0,0
1,12,WaterSecurity,162,162,162,162,0,0.022817030549049377,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565090579912066,0,0
1,13,WaterSecurity,162,162,162,162,0,0.025918101891875267,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565089415758848,0,0
1,14,WaterSecurity,162,162,162,162,0,0.02986961230635643,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.001556508825160563,0,0
1,15,WaterSecurity,162,162,162,162,0,0.034629948437213898,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565087087452412,0,0
1,16,WaterSecurity,162,162,162,162,0,0.038608841598033905,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565085923299193,0,0
1,17,SeasonalOpportunity,162,162,162,162,0,0,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565087087452412,0,0
1,18,WaterSecurity,162,162,162,162,0,0.045000001788139343,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565087087452412,0,0
1,19,ForageSecurity,162,162,162,159,3,0.045000001788139343,0.41999998688697815,0.23999999463558197,0.03359999880194664,0.0015565089415758848,0.011500000022351742,0
1,20,SeasonalOpportunity,162,159,163,156,3.1622776985168457,0,0.2799983024597168,0,0.03359999880194664,0.001556508825160563,0.011905694380402565,0
1,21,SeasonalOpportunity,163,156,166,155,3.1622776985168457,0,0.11999988555908203,0,0.03359999880194664,0.0015625201631337404,0.011905694380402565,0
1,22,SeasonalOpportunity,166,155,169,154,3.1622776985168457,0,0.11999988555908203,0,0.03359999880194664,0.0015650242567062378,0.011905694380402565,0
1,23,SeasonalOpportunity,169,154,168,157,3.1622776985168457,0,0.11999988555908203,0,0.03359999880194664,0.0015674983151257038,0.011905694380402565,0
1,24,SeasonalOpportunity,168,157,165,156,3.1622776985168457,0,0.11999988555908203,0,0.03359999880194664,0.001569942687638104,0.011905694380402565,0
1,25,WaterSecurity,165,156,163,158,2.8284270763397217,0.045000001788139343,0.11999988555908203,0,0.03359999880194664,0.0015723578399047256,0.011071067303419113,0
1,26,SeasonalOpportunity,163,158,165,153,5.385164737701416,0,0.11999988555908203,0,0.03359999880194664,0.0015747438883408904,0.017462911084294319,0
1,27,SeasonalOpportunity,165,153,168,152,3.1622776985168457,0.00039955973625183105,0.11999988555908203,0,0.03359999880194664,0.0015771014150232077,0.011905694380402565,0
1,28,WaterSecurity,168,152,166,157,5.385164737701416,0.045000001788139343,0.11999988555908203,0,0.03359999880194664,0.001579430652782321,0.017462911084294319,0
1,29,SeasonalOpportunity,166,157,170,153,5.6568541526794434,0.045000001788139343,0.11999988555908203,0,0.03359999880194664,0.0015817317180335522,0.018142135813832283,0
1,30,SeasonalOpportunity,170,153,172,148,5.385164737701416,0.045000001788139343,0.11999988555908203,0,0.03359999880194664,0.001584005425684154,0.017462911084294319,0
1,31,SeasonalOpportunity,172,148,173,145,3.1622776985168457,0,0.11999988555908203,0,0.03359999880194664,0.0015862516593188047,0.011905694380402565,0
1,32,SeasonalOpportunity,173,145,173,142,3,0,0.11999988555908203,0,0.03359999880194664,0.0015884708845987916,0.011500000022351742,0
1,33,SeasonalOpportunity,173,142,174,139,3.1622776985168457,0,0.11999988555908203,0,0.03359999880194664,0.0015906636836007237,0.011905694380402565,0
1,34,SeasonalOpportunity,174,139,175,136,3.1622776985168457,0,0.11999988555908203,0,0.03359999880194664,0.0015928300563246012,0.011905694380402565,0
1,35,SeasonalOpportunity,175,136,173,134,2.8284270763397217,0,0.11999988555908203,0,0.03359999880194664,0.001594970584847033,0.011071067303419113,0
1,36,SeasonalOpportunity,173,134,173,137,3,0,0.11999988555908203,0,0.03359999880194664,0.0015970851527526975,0.011500000022351742,0
1,37,WaterSecurity,173,137,171,139,2.8284270763397217,0,0.11999988555908203,0,0.03359999880194664,0.0015991746913641691,0.011071067303419113,0
1,38,WaterSecurity,171,139,171,139,0,0,0.11999988555908203,0,0.03359999880194664,0.0016012387350201607,0,0
1,39,WaterSecurity,171,139,171,139,0,0,0.11999988555908203,0,0.03359999880194664,0.0016032783314585686,0,0
1,40,WaterSecurity,171,139,171,139,0,0,0.11999988555908203,0,0.03359999880194664,0.0016052934806793928,0,0
1,41,WaterSecurity,171,139,171,139,0,0,0.11999988555908203,0,0.03359999880194664,0.0016072844155132771,0,0
1,42,WaterSecurity,171,139,171,139,0,0,0.11999988555908203,0,0.03359999880194664,0.0016092514852061868,0,0
1,43,WaterSecurity,171,139,171,139,0,0,0.11999988555908203,0,0.03359999880194664,0.001611194689758122,0,0
1,44,WaterSecurity,171,139,171,139,0,0,0.11999988555908203,0,0.03359999880194664,0.0016131149604916573,0,0
1,45,WaterSecurity,171,139,171,139,0,0,0.11999988555908203,0,0.03359999880194664,0.0016150119481608272,0,0
